PredictionString,image_id
7 0.9997 215.43 51.31 454.37 478.49 7 0.9994 119.47 423.13 329.02 721.43 7 0.9994 605.92 517.94 943.47 1022.80 7 0.9986 390.48 191.06 596.87 544.47 5 0.9983 244.44 682.14 300.26 749.79 7 0.9971 449.71 593.33 640.44 873.51 7 0.9968 654.82 334.96 870.92 622.03 7 0.9952 547.67 339.92 710.32 600.38 1 0.9925 578.33 114.63 741.78 360.29 7 0.9769 263.49 433.62 416.97 598.89 5 0.9725 342.39 640.62 397.37 724.64 5 0.7691 322.69 568.59 381.73 620.86 7 0.6856 537.12 186.29 573.67 240.00 5 0.4797 318.13 559.53 440.21 620.85 5 0.3571 394.23 609.73 458.87 694.27 1 0.3031 430.20 445.55 570.38 673.85 5 0.3002 329.56 663.03 465.65 749.17 0 0.2963 634.43 250.68 732.02 341.68 7 0.2929 241.36 408.32 334.52 461.15 5 0.2774 362.14 555.28 418.30 645.90 7 0.2736 471.48 594.03 596.02 662.06 1 0.1935 633.05 250.77 737.22 347.74 5 0.1920 327.01 557.72 470.75 758.25 6 0.1885 428.66 441.30 569.32 673.91 1 0.1579 624.64 177.38 728.48 285.63 5 0.1462 468.05 587.82 582.46 664.90 7 0.1306 319.82 559.12 443.07 623.49 5 0.1249 322.89 693.09 395.71 747.68 1 0.1208 386.02 685.16 424.82 720.75 1 0.1146 342.21 685.59 426.15 722.94 7 0.1084 315.96 560.46 475.99 688.86 5 0.1039 429.63 614.74 457.74 662.52 1 0.0997 479.00 592.91 581.30 654.51 5 0.0979 372.42 675.57 458.95 740.31 5 0.0910 319.83 698.69 455.87 745.90 7 0.0907 495.50 597.99 548.75 644.64 2 0.0896 477.77 592.88 562.07 660.34 5 0.0840 373.84 608.72 416.42 689.18 6 0.0791 420.19 449.49 561.29 553.62 0 0.0784 479.00 592.91 581.30 654.51 2 0.0778 327.78 638.91 351.78 683.43 1 0.0764 546.18 336.10 713.38 602.20 7 0.0738 428.52 424.55 575.07 680.15 3 0.0713 477.01 595.52 584.09 657.10 7 0.0695 143.23 425.80 196.07 458.04 1 0.0683 496.12 597.53 549.43 641.59 5 0.0650 359.81 581.25 470.33 701.08 5 0.0633 372.30 553.49 439.63 626.27 5 0.0631 327.78 638.91 351.78 683.43 1 0.0619 169.41 426.05 201.94 448.77 5 0.0609 480.82 608.56 503.15 657.87 7 0.0600 111.15 406.08 558.74 717.94 0 0.0577 495.50 597.99 548.75 644.64 7 0.0574 362.14 555.28 418.30 645.90 1 0.0558 326.88 639.99 352.50 684.19,test/0000.jpg
6 0.9969 754.41 664.49 893.75 996.14 5 0.9914 132.36 0.00 494.43 278.49 4 0.9531 348.41 244.98 750.77 693.52 3 0.2423 346.34 246.60 751.83 690.76 0 0.1866 637.87 638.31 684.47 880.86 5 0.1697 346.34 246.60 751.83 690.76,test/0001.jpg
1 0.9879 423.31 265.87 641.69 336.04 0 0.9787 881.28 464.92 1016.61 627.72 1 0.9729 86.69 273.46 392.29 599.54 4 0.9556 865.28 239.88 914.84 325.63 1 0.9487 291.33 317.22 1012.15 738.11 1 0.8921 776.79 424.91 1024.00 1021.58 1 0.8269 665.34 230.60 961.26 328.16 2 0.6380 679.84 229.78 762.97 326.12 0 0.5340 327.90 332.45 1012.00 412.89 1 0.5279 1.96 243.27 143.09 375.67 1 0.4324 677.53 228.15 806.39 324.87 0 0.3662 784.30 427.71 1024.00 1023.63 0 0.3617 357.86 288.00 1006.52 381.43 0 0.3044 363.85 327.66 1016.06 372.09 1 0.2625 354.38 247.03 1015.30 369.75 0 0.2499 304.71 351.35 996.47 376.04 0 0.1604 0.05 232.90 138.73 469.42 0 0.1372 84.24 283.73 423.68 398.89 0 0.1279 349.52 244.37 1011.33 450.29 0 0.1227 294.39 362.89 1009.83 389.64 1 0.1198 111.57 279.46 419.80 393.62 0 0.1149 660.84 289.87 736.35 326.44 0 0.1093 82.25 275.11 407.36 570.21 5 0.0901 784.30 427.71 1024.00 1023.63 0 0.0883 295.97 337.89 1010.43 713.65 0 0.0876 749.89 227.12 859.15 240.58 1 0.0808 743.05 237.63 918.57 347.80 0 0.0798 346.07 319.01 1011.32 513.79 0 0.0695 87.21 287.08 421.23 338.16 2 0.0680 84.24 283.73 423.68 398.89 3 0.0667 0.05 232.90 138.73 469.42 1 0.0663 0.99 240.56 142.74 297.17 1 0.0608 660.84 289.87 736.35 326.44 0 0.0601 82.37 337.15 392.59 468.03 7 0.0591 795.82 426.42 1024.00 1024.00 5 0.0583 679.95 230.15 762.88 326.07 1 0.0579 995.34 304.89 1023.41 394.54 1 0.0560 971.91 221.60 1022.42 410.77 2 0.0554 88.81 272.32 363.65 601.26 0 0.0517 470.41 345.81 576.66 369.28,test/0002.jpg
9 0.9999 165.25 267.13 928.07 827.33 9 0.7454 4.12 0.00 399.51 1024.00 9 0.7235 0.00 706.73 997.89 1014.03 9 0.4874 0.00 0.00 1024.00 453.32 9 0.0878 16.46 28.02 750.81 895.05,test/0003.jpg
0 0.9942 437.49 406.28 660.54 560.59 1 0.9051 207.17 255.39 854.80 788.46 0 0.4801 211.97 257.25 851.43 787.66 0 0.1490 390.35 258.36 655.40 593.82,test/0004.jpg
2 0.9998 353.48 228.44 770.00 703.83,test/0005.jpg
5 0.9947 352.53 451.67 836.79 723.13 7 0.9870 275.61 4.24 406.32 180.67 4 0.9592 428.45 27.10 635.89 271.90 7 0.9570 895.90 784.70 1021.40 918.23 5 0.8209 0.00 58.80 68.36 223.46 0 0.4358 299.01 639.10 376.24 750.54 1 0.4332 602.37 0.00 700.84 86.54 7 0.4199 601.75 0.00 700.83 87.08 0 0.4085 602.25 0.00 700.91 86.45 0 0.3904 715.43 882.13 844.79 940.78 1 0.3713 194.69 653.55 307.05 876.55 3 0.3092 0.00 57.99 68.29 223.39 5 0.2359 65.00 381.89 220.39 767.07 1 0.2292 195.63 551.70 277.45 705.42 0 0.2165 194.13 656.57 309.18 876.17 5 0.0848 194.00 655.42 309.01 875.04 6 0.0804 601.76 0.00 700.82 87.09 4 0.0694 0.00 59.66 68.24 223.34 4 0.0549 194.31 655.15 307.71 874.31,test/0006.jpg
1 0.9972 887.09 895.89 1020.60 1023.65 7 0.9931 0.00 864.14 21.39 1024.00 9 0.9856 563.38 487.64 899.95 734.08 9 0.9477 91.91 75.92 1004.74 928.06 1 0.8184 209.96 887.95 617.12 1023.81 9 0.6612 354.91 87.65 851.09 729.07 9 0.5606 300.75 528.14 436.69 672.52 0 0.5023 0.00 515.09 277.24 1024.00 9 0.3215 356.12 138.67 585.90 674.55 9 0.2336 264.89 164.29 494.45 687.01 1 0.2261 158.61 697.92 1001.89 1024.00 0 0.1792 108.53 76.49 999.98 846.03 0 0.1374 327.96 4.35 979.18 204.45 0 0.1351 336.99 101.25 907.22 189.86 1 0.1303 16.88 627.48 710.73 1024.00 7 0.1194 4.47 159.91 251.28 1024.00 0 0.0998 16.88 627.48 710.73 1024.00 1 0.0640 277.43 1010.46 332.76 1023.51 0 0.0583 168.62 434.19 947.52 1003.61 1 0.0533 359.10 891.77 566.06 1021.49,test/0007.jpg
7 0.9996 158.18 528.25 463.11 962.01 7 0.9994 0.38 609.90 177.64 878.26 7 0.9980 353.45 122.30 415.78 224.54 7 0.9979 389.49 451.26 696.70 882.98 7 0.9933 526.34 422.46 702.65 619.33 7 0.9852 1.45 358.72 276.08 648.84 6 0.9795 779.93 281.13 972.53 617.98 1 0.9340 361.13 498.53 468.99 641.77 7 0.9256 685.37 531.76 785.66 694.31 1 0.9073 643.40 637.79 721.58 758.95 0 0.7521 103.41 907.30 168.95 973.06 5 0.5721 678.03 494.38 796.51 699.40 1 0.5207 360.83 0.00 418.28 92.49 0 0.5001 360.97 0.00 418.07 92.36 1 0.3800 103.34 906.73 168.31 972.88 7 0.3475 489.08 436.68 789.18 644.94 2 0.3104 151.75 563.39 213.23 663.36 7 0.2898 663.10 450.66 798.15 707.04 5 0.2884 603.94 346.47 731.99 468.47 7 0.2819 229.22 490.17 330.23 557.93 7 0.2272 386.70 594.86 450.89 689.06 7 0.2251 0.00 533.54 44.43 678.15 1 0.2121 152.51 562.55 214.05 663.82 7 0.1213 362.85 496.17 462.77 613.74 3 0.1061 673.73 454.48 809.74 640.29 6 0.0984 602.93 347.05 732.36 468.14 5 0.0976 14.49 791.59 113.47 861.63 5 0.0891 653.15 458.11 813.23 625.87 7 0.0727 603.08 346.69 731.79 468.36 1 0.0609 150.78 538.92 243.31 673.82 7 0.0526 103.64 907.02 168.53 972.99,test/0008.jpg
0 0.9991 281.60 103.44 662.06 982.16,test/0009.jpg
4 0.9995 203.02 321.35 647.61 471.70 7 0.9638 0.00 871.01 287.64 1023.59 7 0.9047 174.06 874.02 468.12 1023.57 4 0.6864 34.30 585.71 458.92 726.19 0 0.6206 285.89 824.36 345.62 861.93 7 0.3548 14.24 566.43 432.22 1024.00 1 0.2357 60.28 672.60 387.51 908.01 7 0.2331 2.43 811.12 181.94 902.38 7 0.1723 0.66 705.78 250.02 1024.00 7 0.1403 46.56 676.97 409.66 867.36 5 0.0987 36.17 586.20 461.49 726.80 1 0.0899 42.77 587.36 444.88 739.29 0 0.0819 98.23 710.41 290.94 844.50 1 0.0787 86.38 716.33 337.35 855.84 3 0.0744 39.22 587.44 465.25 726.10 1 0.0707 19.53 572.73 438.80 1024.00 4 0.0592 24.00 301.69 622.13 753.34 0 0.0583 36.17 586.20 461.49 726.80 0 0.0540 48.66 580.25 435.61 900.66 7 0.0528 274.54 758.34 385.81 867.58,test/0010.jpg
5 0.9992 814.00 260.48 1000.08 399.56 5 0.9921 1.07 499.60 925.98 1024.00 5 0.9801 472.37 116.91 765.74 322.41 6 0.9222 9.02 158.79 523.76 713.73 5 0.8885 895.44 439.80 1019.89 612.85 5 0.8712 454.85 397.02 1019.85 710.38 5 0.8303 715.81 327.48 919.00 468.79 2 0.7982 673.50 419.97 883.61 564.38 5 0.7703 620.26 314.49 758.15 443.88 5 0.7301 71.22 634.02 586.77 812.53 5 0.7230 569.40 693.01 1014.37 1024.00 3 0.6089 719.30 327.10 917.58 468.73 5 0.6022 522.46 837.45 868.20 1022.02 5 0.5760 0.00 741.22 38.09 904.21 5 0.5402 406.36 828.40 540.95 1017.99 1 0.5359 0.00 914.67 158.57 1024.00 0 0.5325 330.46 501.86 441.42 561.80 5 0.5321 502.88 853.99 587.60 1018.69 5 0.5064 673.81 420.19 884.74 567.88 5 0.5048 603.24 257.96 766.24 336.44 0 0.4457 5.07 0.00 723.37 310.25 6 0.4441 410.71 349.48 520.12 525.02 5 0.4361 401.62 348.67 849.90 1024.00 5 0.3935 610.07 200.42 769.12 458.24 0 0.3677 673.70 255.60 760.13 326.21 5 0.3677 700.72 778.67 980.58 1017.63 5 0.3409 582.49 194.70 769.50 324.19 6 0.3198 2.84 535.67 56.88 783.22 5 0.3191 0.00 137.56 711.90 895.15 0 0.2797 2.83 506.53 122.92 768.42 5 0.2687 484.44 342.13 745.62 730.75 5 0.2496 12.39 515.52 495.83 802.94 0 0.2065 278.82 1.41 845.24 370.00 5 0.1971 459.17 61.10 798.37 733.45 0 0.1917 480.23 6.63 1016.01 419.55 0 0.1862 0.00 914.57 157.54 1024.00 3 0.1833 619.52 313.84 761.29 442.73 5 0.1702 511.76 362.45 701.09 450.17 5 0.1633 21.41 632.93 636.56 1021.95 5 0.1619 507.80 868.59 664.52 1019.48 1 0.1500 352.62 504.27 439.20 547.95 5 0.1422 756.18 237.50 786.51 348.29 5 0.1311 506.49 310.62 884.72 478.46 5 0.1291 725.87 683.45 1000.76 849.54 6 0.1240 17.19 173.98 523.82 423.00 0 0.1223 359.83 504.05 429.82 544.85 6 0.1194 14.85 5.81 600.41 490.32 0 0.1169 602.95 262.71 762.06 334.67 7 0.1168 670.25 254.02 761.35 327.35 5 0.1135 0.00 742.63 79.24 937.19 5 0.1107 701.66 188.31 751.92 255.77 5 0.1000 6.55 665.30 168.49 1016.18 5 0.0990 480.57 282.01 932.05 564.62 6 0.0970 0.00 395.50 424.80 753.40 5 0.0970 441.15 715.84 878.53 1012.91 7 0.0887 0.29 913.09 158.31 1024.00 4 0.0832 619.15 313.27 761.30 443.01 5 0.0830 352.85 9.45 771.08 449.75 7 0.0793 0.00 745.53 37.85 887.49 5 0.0777 603.52 283.79 721.60 330.46 1 0.0765 753.43 315.25 782.48 349.82 1 0.0765 673.37 416.49 881.24 567.84 7 0.0743 352.85 9.45 771.08 449.75 1 0.0730 670.25 254.02 761.35 327.35 5 0.0706 529.82 289.93 602.45 337.03 7 0.0701 670.86 257.40 750.77 285.14 5 0.0652 672.29 242.27 763.98 331.05 1 0.0641 754.43 246.38 785.73 352.60 0 0.0626 717.20 327.20 917.53 468.90 5 0.0624 113.29 499.32 568.22 695.71 3 0.0616 611.20 250.34 768.43 341.93 5 0.0599 663.08 502.20 806.66 594.08 7 0.0567 7.95 142.37 522.14 743.75 1 0.0557 634.14 241.06 763.64 345.68 5 0.0535 652.58 310.04 996.98 768.84 4 0.0506 611.20 250.34 768.43 341.93,test/0011.jpg
0 0.9743 290.74 415.40 552.06 795.79 7 0.1235 292.84 414.17 552.19 796.31,test/0012.jpg
1 0.9962 214.31 480.86 530.69 802.17 1 0.9885 188.62 379.43 475.93 489.24 1 0.9771 300.30 308.11 859.50 643.51 1 0.8043 234.10 350.28 291.40 398.44 1 0.5950 489.29 636.27 545.43 674.10 1 0.5775 3.28 635.45 99.74 779.90 1 0.4365 190.48 463.87 484.66 507.19 1 0.3346 139.58 506.07 238.46 679.51 1 0.3073 235.65 393.04 284.88 415.95 1 0.3024 208.91 338.15 665.53 806.53 1 0.2606 292.00 335.30 551.63 719.82 1 0.1915 187.40 362.03 287.93 483.38 1 0.1793 0.36 375.33 235.02 800.29 1 0.1562 210.83 486.03 311.24 503.98 1 0.1491 260.99 395.60 286.94 420.85 1 0.1390 30.61 380.51 277.33 489.40 1 0.1334 181.48 350.16 234.90 440.94 1 0.1200 213.51 481.71 309.80 496.09 1 0.1113 225.16 318.54 778.84 428.87 1 0.1081 187.72 370.62 222.83 406.82 1 0.1070 4.75 497.04 254.20 703.62 1 0.0977 198.85 479.37 408.86 512.48 1 0.0881 201.28 411.82 501.16 674.44 1 0.0840 233.22 691.74 519.52 804.27 1 0.0759 138.64 481.73 483.94 521.89 1 0.0699 177.94 352.57 241.15 399.56 1 0.0638 143.11 352.18 288.31 424.13 1 0.0631 109.90 645.83 241.77 680.19 1 0.0583 487.62 625.95 538.99 638.92 1 0.0534 117.99 357.08 236.47 504.07 1 0.0523 222.37 428.04 455.22 491.15,test/0013.jpg
7 0.9991 18.59 255.16 824.96 876.63 7 0.9936 14.45 114.43 440.67 408.71 3 0.7205 232.63 244.20 279.48 284.35 7 0.6396 31.90 279.21 449.82 589.38 7 0.5575 0.00 545.58 366.28 833.46 7 0.4115 0.00 264.89 131.68 338.15 1 0.3561 3.68 256.03 130.72 365.42 0 0.3376 0.00 265.15 131.90 338.34 7 0.2884 323.51 215.61 434.48 318.72 1 0.2089 219.83 221.17 260.45 253.14 1 0.1847 219.65 227.05 243.96 256.86 5 0.0778 233.09 245.57 279.93 284.17 7 0.0693 3.72 248.04 172.14 365.76 1 0.0616 212.70 220.84 260.74 282.03 0 0.0589 228.43 241.58 278.29 284.54 7 0.0511 166.44 148.53 258.54 295.76,test/0014.jpg
7 0.9999 292.13 227.68 778.80 812.80 7 0.7685 172.47 796.02 284.49 882.46 5 0.1088 534.58 543.39 608.86 594.84,test/0015.jpg
2 0.9999 300.97 381.20 701.41 748.97 0 0.7788 38.22 79.04 402.08 255.24 3 0.7282 840.77 149.84 1024.00 307.64,test/0016.jpg
5 0.9747 52.50 82.01 940.05 900.36 5 0.3539 72.86 83.27 561.85 670.72,test/0017.jpg
6 0.9952 175.56 146.30 956.41 822.91 0 0.8353 613.30 360.61 748.61 491.99 0 0.6405 186.53 155.58 621.57 395.88 6 0.1406 184.03 153.70 619.72 399.74,test/0018.jpg
1 0.9982 346.76 408.27 537.69 649.91 1 0.9975 745.65 113.53 982.40 514.98 1 0.9885 210.02 478.44 329.24 747.47 6 0.9875 633.57 58.86 854.58 338.52 1 0.9712 545.67 700.63 699.62 783.12 1 0.9703 205.58 426.54 302.72 531.07 1 0.9690 463.43 268.90 769.93 650.20 1 0.9677 4.84 408.09 224.32 609.77 5 0.9612 135.66 833.88 345.15 987.65 1 0.9442 2.81 586.20 129.43 751.13 1 0.9396 754.86 400.02 940.68 519.78 6 0.9385 478.14 128.55 711.26 371.50 1 0.9336 743.94 423.37 949.85 622.67 1 0.9307 682.92 579.64 944.60 820.36 1 0.9266 544.66 611.00 711.33 736.17 1 0.9104 133.46 637.92 359.67 917.85 1 0.9009 703.56 579.54 936.45 670.49 1 0.8684 361.56 592.85 559.95 817.50 1 0.8564 674.51 768.91 933.41 932.05 1 0.8494 115.92 627.18 212.09 789.39 1 0.8445 91.25 529.07 213.01 638.25 6 0.8198 631.35 55.62 845.91 203.45 1 0.7962 355.97 833.56 531.16 937.71 1 0.7930 0.42 586.79 80.72 660.95 1 0.7517 127.62 652.32 181.38 724.48 1 0.7439 393.22 793.17 495.11 832.83 1 0.7438 145.51 764.59 337.25 902.19 1 0.7242 93.02 726.37 142.67 846.93 1 0.7222 863.53 107.85 981.42 229.91 1 0.6301 183.53 726.91 335.36 776.35 1 0.5860 352.78 806.77 532.03 1011.68 1 0.5393 702.65 130.20 976.22 788.49 1 0.5359 693.19 776.51 876.72 840.35 1 0.5319 346.47 417.46 545.28 1005.45 6 0.5179 522.11 723.22 666.17 870.58 1 0.5050 131.11 709.34 332.65 785.71 1 0.4688 164.61 629.28 215.21 712.75 1 0.4483 553.31 607.63 713.58 668.41 1 0.4155 120.37 643.52 335.38 790.05 1 0.3845 93.23 524.75 213.66 783.61 1 0.3763 922.53 242.27 1021.95 767.63 1 0.3676 542.34 645.16 700.77 817.08 1 0.3638 67.48 584.61 89.48 621.46 1 0.3618 718.05 562.22 755.91 620.60 1 0.3582 125.93 441.64 339.27 834.45 1 0.3440 8.93 399.66 299.83 772.39 1 0.3418 344.01 881.82 532.96 975.41 6 0.3141 485.14 74.85 849.31 374.90 1 0.3038 355.07 897.99 478.26 1017.84 0 0.2836 431.82 908.49 528.32 966.63 1 0.2741 526.69 587.70 939.51 727.97 1 0.2738 355.44 578.40 963.17 835.17 1 0.2647 449.65 236.02 936.03 800.10 0 0.2485 388.39 844.49 495.52 924.05 1 0.2462 366.35 783.20 513.29 841.04 6 0.2265 254.71 773.94 305.01 899.10 1 0.2257 910.14 94.38 941.90 131.82 1 0.2256 352.93 915.50 480.87 964.60 1 0.2057 831.68 569.36 923.29 627.04 1 0.1992 0.94 580.87 205.88 785.85 0 0.1902 437.30 910.80 487.13 970.78 1 0.1783 704.33 528.11 939.46 724.74 1 0.1652 214.56 511.07 275.91 530.08 1 0.1441 362.41 925.63 436.30 945.34 1 0.1403 483.99 796.54 529.05 851.26 1 0.1381 502.19 303.98 763.06 480.22 1 0.1317 755.12 271.65 941.68 481.99 1 0.1226 129.71 630.95 209.83 723.89 1 0.1213 357.55 835.20 479.06 865.95 1 0.1205 352.14 798.94 512.69 870.23 1 0.1183 188.58 770.42 257.56 782.61 0 0.1136 405.19 910.21 480.89 975.41 1 0.1085 693.29 815.17 741.63 831.52 1 0.1009 138.50 778.39 252.92 902.04 1 0.0996 271.49 723.55 338.24 774.80 1 0.0991 85.33 579.01 101.60 620.98 1 0.0956 368.91 814.88 500.47 856.25 1 0.0935 523.16 695.64 692.92 873.36 1 0.0916 191.29 665.37 344.14 777.58 6 0.0870 170.40 768.55 330.28 900.09 1 0.0854 76.54 584.01 98.08 622.12 1 0.0842 478.05 830.16 523.07 909.69 1 0.0821 371.93 803.17 413.27 822.60 1 0.0723 437.67 886.14 526.27 966.97 1 0.0691 137.29 793.85 346.59 991.23 5 0.0655 132.36 709.69 353.18 965.73 1 0.0643 217.62 774.61 254.76 793.64 1 0.0641 523.33 571.24 547.16 619.57 1 0.0636 148.81 840.18 277.46 895.24 1 0.0576 6.17 508.99 235.59 738.30 1 0.0557 359.11 927.37 419.75 956.76 1 0.0553 633.74 55.77 860.50 339.18 1 0.0551 100.76 600.22 208.45 651.58 0 0.0513 830.79 570.39 918.17 625.15 5 0.0501 3.00 733.63 62.90 943.62,test/0019.jpg
1 0.9733 438.46 342.28 650.61 674.16 0 0.5130 437.46 341.98 650.19 672.75 7 0.1301 437.46 341.98 650.19 672.75,test/0020.jpg
1 0.9740 370.47 235.35 633.08 789.90 0 0.3058 374.04 228.94 633.50 792.86 7 0.1751 371.94 233.39 632.81 790.18,test/0021.jpg
0 0.9822 102.12 419.48 715.69 840.74 2 0.3169 148.07 417.80 707.69 812.16 1 0.0635 939.39 919.53 1022.92 1024.00 1 0.0576 120.34 422.09 714.71 840.27,test/0022.jpg
3 0.9993 305.75 362.23 742.58 825.36 7 0.7025 532.48 787.22 597.36 850.53 0 0.1585 531.89 788.52 597.57 850.44 3 0.1402 570.58 374.85 733.67 612.81,test/0023.jpg
7 0.9986 4.77 0.00 478.39 692.28 7 0.9983 693.18 403.91 828.00 637.21 7 0.9971 412.24 0.00 1024.00 449.29 2 0.9970 320.14 321.54 604.51 636.30 0 0.8435 181.15 0.09 298.50 140.54 7 0.8131 0.00 0.00 127.26 50.19 7 0.4883 385.84 0.00 467.78 43.04 7 0.3786 177.42 3.08 298.58 142.70 7 0.3677 0.00 0.00 456.81 361.33 0 0.2679 225.95 0.00 297.91 97.31 1 0.1876 318.78 320.02 605.45 635.43 7 0.1067 0.00 1.92 503.89 178.56 7 0.0643 0.00 488.62 324.37 689.94 7 0.0507 0.00 0.00 185.05 145.04,test/0024.jpg
0 0.9903 247.13 561.84 633.41 771.95 1 0.0603 710.89 489.51 1015.76 1019.23,test/0025.jpg
4 0.9997 571.51 388.63 684.89 619.49,test/0026.jpg
7 0.9995 541.16 437.31 963.23 754.37 7 0.9993 96.22 420.05 585.75 684.66 0 0.9176 105.17 487.62 204.37 526.74 5 0.6747 0.00 326.98 120.61 608.79 1 0.2082 702.41 50.93 1010.73 351.49 1 0.1134 421.79 60.54 566.27 156.87 1 0.0898 567.09 0.00 678.40 90.37,test/0027.jpg
7 0.9975 463.01 480.39 704.50 703.55 0 0.0708 11.19 30.50 342.75 991.51,test/0028.jpg
7 0.9993 198.94 439.63 415.54 634.70 7 0.9976 264.69 494.22 732.90 843.57 0 0.4989 440.54 272.19 498.34 324.88 1 0.0631 440.40 272.31 498.16 324.57,test/0029.jpg
2 0.9947 214.71 382.79 761.10 706.81 0 0.9311 0.00 53.60 94.68 118.00 1 0.1360 0.00 53.65 95.45 117.62,test/0030.jpg
5 0.9988 417.34 418.93 750.31 822.30 0 0.9988 367.16 411.31 476.18 505.68,test/0031.jpg
